GeneID,Module_orig,Module_EM
728855,112,1
100996720,112,1
101954264,112,1
107985763,112,1
2210,43,8
100996318,28,5
653464,112,1
647121,112,1
107985200,112,1
107985201,112,1
26863,112,1
100189142,112,1
338391,18,4
100132417,8,8
100996712,112,1
284565,112,1
647135,112,1
107985615,202,18
103091866,112,1
100996740,112,1
101954266,112,1
100288142,112,1
105371312,112,1
101929780,112,1
653519,112,1
11126,112,1
27246,112,1
10623,112,1
200035,112,1
10401,112,1
8799,112,1
114814,112,1
9939,112,1
105371260,112,1
128077,112,1
84265,112,1
10628,112,1
100132406,112,1
388677,112,1
170688,112,1
102724364,112,1
100996756,112,1
149013,112,1
728989,112,1
5565,112,1
9557,112,1
171423,112,1
2330,112,1
607,112,1
51463,112,1
26864,112,1
200030,112,1
100132057,112,1
101954272,112,1
388685,112,1
25832,112,1
100996763,112,1
440672,112,1
9659,112,1
400818,112,1
100996716,112,1
100996717,112,1
101060226,112,1
57234,112,1
100189257,113,0
112268236,112,1
644634,112,1
2209,9,8
440689,33,8
112268237,32,5
8370,112,1
8337,112,1
337873,112,1
723790,112,1
112268238,112,1
554313,112,1
8349,112,1
8338,112,1
51027,112,1
10262,112,1
10903,112,1
11311,112,1
51177,112,1
105371433,112,1
81611,112,1
23632,112,1
51107,112,1
54460,112,1
9129,112,1
23248,112,1
80222,112,1
102465529,112,1
100289061,112,1
54507,112,1
100422997,112,1
574406,112,1
4170,112,1
107985203,112,1
2029,112,1
55204,112,1
1520,112,1
1513,112,1
405,112,1
9869,112,1
29956,112,1
8416,112,1
55793,112,1
58497,112,1
54964,112,1
56882,112,1
10962,112,1
126626,112,1
388695,112,1
100534012,112,1
79626,112,1
79005,112,1
29765,112,1
6944,112,1
8394,112,1
5710,112,1
57592,112,1
5298,112,1
5993,112,1
101927886,112,1
8991,112,1
5692,112,1
23126,112,1
7286,112,1
81609,112,1
11189,112,1
65005,112,1
51686,112,1
11022,112,1
6097,112,1
100132111,112,1
284486,112,1
117145,112,1
6281,112,1
6282,112,1
101927949,112,1
6280,112,1
6283,221,19
6279,112,1
6277,112,1
6275,112,1
101928034,112,1
6284,112,1
6271,112,1
26097,112,1
23557,112,1
3608,112,1
65123,112,1
11000,112,1
57459,112,1
101928059,112,1
9909,112,1
200186,112,1
27173,112,1
148327,112,1
10899,112,1
5872,112,1
6232,112,1
7170,112,1
25912,112,1
9898,112,1
109617023,112,1
10456,112,1
89872,112,1
57198,112,1
3570,112,1
126669,112,1
55585,112,1
100874097,112,1
1141,112,1
103,112,1
10654,112,1
57326,112,1
90780,112,1
101928120,112,1
6464,112,1
1163,112,1
100423020,112,1
80308,112,1
51043,112,1
8751,112,1
1945,112,1
1944,112,1
55974,112,1
54344,112,1
200185,112,1
80128,112,1
7059,112,1
105371450,112,1
4580,112,1
2630,112,1
2629,112,1
10712,112,1
10067,112,1
1196,112,1
2224,112,1
284618,112,1
23623,112,1
55870,112,1
693140,112,1
645676,112,1
105371452,112,1
55154,112,1
55249,112,1
106633810,112,1
7818,112,1
100505728,112,1
100129405,112,1
54856,112,1
23208,112,1
6016,112,1
22889,112,1
9181,112,1
102465442,112,1
107985209,112,1
6746,112,1
105371729,112,1
56893,112,1
28956,112,1
4000,112,1
64218,112,1
9673,112,1
100527963,112,1
11243,112,1
632,112,1
79957,112,1
23381,112,1
84283,112,1
112770,112,1
7203,112,1
4209,112,1
164118,112,1
128240,112,1
54865,112,1
1382,112,1
81875,112,1
51093,112,1
79590,112,1
3068,112,1
5546,112,1
9047,112,1
9826,112,1
768220,112,1
2117,112,1
83416,112,1
115352,112,1
79368,112,1
115350,112,1
912,112,1
911,112,1
4332,112,1
149628,112,1
3428,112,1
105371461,112,1
9447,112,1
2532,112,1
2205,112,1
54935,112,1
105371464,112,1
343413,112,1
56833,21,5
284677,42,5
25790,112,1
8407,112,1
93183,112,1
93185,112,1
729867,112,1
8682,112,1
50717,112,1
100287049,112,1
5824,112,1
107985219,112,1
1314,112,1
23385,112,1
114836,112,1
8832,112,1
6504,112,1
962,112,1
57823,112,1
4063,112,1
51744,112,1
50848,112,1
100131187,112,1
7391,112,1
257106,112,1
5202,112,1
4817,112,1
9191,112,1
51506,112,1
27005,112,1
5498,112,1
8703,112,1
4720,112,1
2207,112,1
84134,112,1
100847090,112,1
9970,112,1
105371472,112,1
107985221,112,1
4359,112,1
6391,112,1
257177,112,1
100189373,112,1
100189407,112,1
2212,112,1
100189380,112,1
3310,112,1
100189018,112,1
100189011,112,1
2214,112,1
9103,112,1
3311,112,1
100189003,112,1
2215,112,1
2213,112,1
84824,112,1
11266,112,1
22926,112,1
117157,112,1
127933,112,1
6675,112,1
51478,112,1
4259,112,1
223,112,1
54499,112,1
7371,112,1
100500832,170,13
57645,112,1
117143,112,1
10223,112,1
5451,112,1
919,112,1
8804,112,1
92241,112,1
9019,112,1
25874,112,1
55827,112,1
261726,112,1
375035,112,1
84832,112,1
9095,112,1
6846,112,1
481,112,1
29922,112,1
8548,112,1
2153,112,1
6403,112,1
107985745,112,1
6402,112,1
92342,112,1
55732,112,1
57147,112,1
22920,112,1
92344,112,1
2329,112,1
23215,112,1
8674,112,1
51603,112,1
5279,112,1
51430,112,1
356,112,1
9588,112,1
27252,112,1
55157,112,1
100506046,112,1
60674,112,1
26769,112,1
26802,112,1
26774,112,1
26770,112,1
692198,112,1
26806,112,1
106635533,112,1
692196,112,1
619498,112,1
84614,112,1
149041,112,1
9910,112,1
105371622,112,1
27101,112,1
63931,112,1
9674,112,1
64326,112,1
55103,112,1
9917,112,1
64222,112,1
27,112,1
6646,112,1
163590,112,1
26092,112,1
9857,112,1
5768,112,1
84320,112,1
100527964,112,1
9213,112,1
10228,112,1
3140,112,1
51278,112,1
2752,112,1
6041,112,1
80896,112,1
647070,112,1
1660,112,1
9887,112,1
4688,112,1
107985235,397,9
10092,112,1
116461,112,1
80267,112,1
116496,112,1
6045,112,1
81627,112,1
10625,112,1
7175,112,1
54953,112,1
5743,112,1
5321,112,1
64407,112,1
100616345,112,1
5997,112,1
51377,112,1
