,ME_EM0,ME_EM1,ME_EM2,ME_EM3,ME_EM4,ME_EM5,ME_EM6,ME_EM7,ME_EM8,ME_EM9,ME_EM10,ME_EM11,ME_EM12,ME_EM13,ME_EM14,ME_EM15,ME_EM16,ME_EM17,ME_EM18,ME_EM19
GSM7888967,2.2435238591596485,-56.64833255449346,-3.216690289452522,-0.2190467261212049,0.2385001527375392,0.6989983443659695,-3.1739089786584977,-0.9327767528552234,3.6592549618865124,-1.5788092076978348,-0.09598378419204243,-1.9923401415180708,0.5675454476437467,0.16618551261061082,-0.8567856933088489,-1.764309884652732,-0.2652083591537542,-2.797286811998598,1.758333276470169,0.15967201960521918
GSM7888968,-0.8252619879597713,-1.168141927765516,3.4148741471847726,0.7500428665524638,-4.074644369806418,-5.045124658926427,-1.4839887491424686,4.598213561587367,-6.786140929599454,-1.0325721502006802,-0.40933215413559343,-1.4068073386889757,7.124121311829188,-0.03999365146715425,-2.4500459994695163,0.7634079564983924,-1.1974764357546825,3.731230729201041,-0.956035709918187,1.0216648195416456
GSM7888969,0.9739872285505693,25.064933915981417,-4.488102985255847,2.0726634746314296,2.8069304227345575,3.8580388273158728,-0.9121670298098088,-3.9726312913093964,6.134202219139549,-0.4214266982058911,0.0699040202294103,-1.485790443616605,0.35558014737735943,-1.6053871546241432,-1.6995116922639038,-2.3962131249416343,-0.02812069307156957,-3.6593364453724213,-0.7176378652397709,2.5973410571908464
GSM7888970,-4.103153752939731,68.48347288150947,2.3565212898174654,0.02507586267318251,-2.9626260735009113,-4.179557028802469,-3.8540648340303867,1.3518525063860274,-5.778210572381726,0.05111108245500763,0.5873127807923538,-2.9342756761417585,0.4721758036723856,-2.0430596450616,-1.6651950895138976,-0.318872574129383,1.5335567782858601,2.8863805030511704,-0.1759615299877838,0.4195920679627439
GSM7888971,0.14818045756437698,-5.350156822237345,-7.01204792949686,-2.2254811004267623,8.198107342242619,7.926215683602557,-4.524176168845088,-9.779464739961444,12.013453558166868,-0.815282170285581,-0.8076243204840888,-2.9198763338732494,0.435415240747814,0.3988975891764958,1.9344717107938882,-3.464731487155395,-1.6963195383949192,-6.7436821551900055,0.1359210271853688,-0.39149695907911225
GSM7888972,-0.13025009090001022,12.663550506823162,1.6735634152222552,1.4593746327656512,-3.1814747069331983,-3.300921297005293,1.427680901228659,1.3466013310981197,-2.9876081647914234,0.6996867329211744,0.4431944438042116,0.976614209483549,2.7913973481546277,-1.064848622511237,0.05166798792654552,0.32585604564098586,1.7392711193958417,1.4984422651642049,-1.361967635307781,-0.011122103902574792
GSM7888973,-0.20518676506238728,-25.059191893095853,-0.19740094715130263,0.651940366519452,-1.6192179861272071,-0.4460833306179467,0.16821216587426308,-1.4371189194662832,1.5949828068194203,-1.0361983237473513,-0.6288041917173979,0.06617817135156695,2.96236393150695,0.6964954581054401,1.54585805135268,-0.253657656781366,1.5789195484315006,-1.1428915077834252,-0.6483598049033633,-0.984360726842712
GSM7888974,-0.3159416113910315,-9.862865170613823,0.8433367410044293,0.3809054191365682,-2.4441475895490323,-1.9113734531348667,0.8151650166964618,2.504584537490332,-1.4467597749023962,0.08864629681313473,-0.9870139784682109,0.810535417097181,3.1544535926798725,-0.14877105561722326,-0.5375927274595915,0.8553198054705768,-0.944741378649899,0.4772628131025639,-0.6561504754760241,-0.4991786897743115
GSM7888975,1.4888975755788123,-44.72845553546523,-1.2875614049988102,-0.5647395818301971,0.1591466973712944,1.8298530656937968,-0.663962699443007,-1.041981374725157,3.5230166607562245,-0.4180670202652739,-2.2572077542643068,-0.0245367639341922,3.242297625319036,0.1789103501505638,1.8454383791337767,-0.35885600259042844,-0.6963294423570332,-2.206408312970717,0.3751514611396725,-1.4147438957259577
GSM7888976,3.3205036316478793,-82.2998159598707,6.057875756062464,-0.3990728637142905,-4.818254208557246,-6.156565097919499,-4.635073783546271,8.598042736483462,-10.067741656450064,-2.6189164545795327,-4.576345145521822,-2.1790917375278775,9.988684686772165,0.882162122878778,3.7117653558144306,3.2541854245999047,-1.7436655496775495,5.518820069112134,2.492440982583006,1.2781804594958746
GSM7888978,-1.3781650971386419,-34.766464646858964,4.243346952507308,0.6108123866167605,-4.7082524355590785,-5.962810130800144,-1.4587147270717957,7.479027120215553,-9.117359299854979,-1.1152587786223058,0.7024792383202961,-1.773420216805313,1.6092821799165693,-0.11131910334238453,-3.3330854285471876,1.0521612180659972,-0.03213748157272503,4.77145770461564,-0.6487741210108748,-2.150350596698834
GSM7888979,-3.997911390560291,22.74003477934329,-2.8723307618139278,-0.6730671781623299,0.8597986249005355,4.501156012232761,-0.5852506295640186,-3.7010140831017115,5.351378333816233,0.7448194093507552,0.8924979049156546,-1.3755482367922827,1.6484654430273142,-0.29104081586696007,-3.4048724186012755,-0.9907418802416238,0.18048892804805822,-3.532580340188046,-1.8069542943236316,-1.9062179089253812
GSM7888980,-5.396643904925897,20.338486313519677,3.682412078767484,0.546264571423031,-3.969058424038099,-4.7577581768149955,0.08106129255476299,4.688709486605372,-7.764177560334298,0.061745278149209666,0.8491051678737234,-1.4834170868751502,1.5200450240398178,-0.8810364713097965,-3.8666257415246177,0.5948953171851722,1.1515664947191635,4.4046241854990615,-2.2262580366332427,-2.0595860144492817
GSM7888981,-1.552093488083444,17.0979598882963,-0.6620535229372866,0.6513770943364213,-0.6345832005032265,1.7176031216196184,0.13657572315600444,-3.227374864198606,2.5522292381758893,-0.684880848589999,0.08125261086778883,-0.8049505294280204,1.2726204546629918,0.25799126852595483,-1.8805793596333045,-0.7790970284249441,1.7213722113361385,-1.6172428997164459,-0.7665074331583435,-1.1835301967408562
GSM7888982,3.1263629027631072,-18.10459147298237,2.1239642757519785,-0.251751402249126,-3.7062928701120543,-4.5172640431245545,-4.315655462840911,4.3339638031836865,-4.836189123318515,-1.3111284329431723,0.28643235503673053,-2.6311590532665714,2.5494227457466634,0.1842242418608372,-2.3839445381202413,0.838111057422936,-2.273342211920665,1.8822354484994028,0.7764648640485617,0.881644833929853
GSM7888983,5.209944720741056,164.3047293927688,-6.164184670336728,-1.611319430968197,8.926933759187174,9.739566940849723,-2.801458768413573,-10.615400882665893,12.486428645297536,-3.964376553863628,2.4028331231451205,-2.0812879187132634,1.1557492326779446,5.362112303535708,-5.290509428837662,-2.4720139362259124,-4.030281678391068,-6.368701384283822,4.4134928003543905,1.4586008781644177
GSM7888984,-5.5660893991747935,37.79503403648709,3.137631524603646,0.5190935893662769,-2.869257878362081,-4.467746028362593,0.7512846125218187,3.3961884978456554,-6.232468245650441,2.1966787988634047,0.7523304597432504,0.07750143068351921,2.0686708106650986,-0.9511573552837921,-3.305827338503906,0.31443646945111436,0.03330527191316225,3.087648954042589,-0.45015775507688,0.9052897590334777
GSM7888985,-0.3434123689145726,-22.59634618959032,-5.998413892830335,-1.2027948262832857,8.307966819071488,8.580435539527475,-1.652252254436449,-8.36057190546911,11.357194558067906,-2.2588233359642724,-0.6954240446435445,-0.9863696273844016,2.4111550369577577,1.7170351578838416,1.0435694852681274,-3.070022371134446,-2.8221615943962637,-6.501271724078928,1.5458852924277542,1.2288601860976647
GSM7888986,1.5951476711954249,-20.651300205001093,6.4301387120128,2.7756309691412415,-4.524912809327699,-6.032182783317206,-1.4307246166199012,7.962810482163422,-10.162196751303265,-1.6200511361298362,9.812877218432803,-1.0450321511207934,1.8114710305298358,-0.3864160702629884,-2.0542460105575824,2.862138087968569,3.3772425558304344,6.318358040584544,0.24945410421939349,-0.41656915020053475
GSM7888987,-2.460230837079567,33.90094399725257,-5.869469412272029,-0.47307406700190663,9.690370850547934,11.252784614842927,0.39329249834160046,-9.723816641401058,12.843991173474933,0.1486178139290082,4.76874710815871,-0.632820149974228,9.96188373994353,-0.10112939646676249,-0.5675661935331752,-1.5253911427571938,0.05730678257579795,-5.929738185834944,-1.2256887624188233,1.458618370395969
GSM7888988,-1.5341051818841425,41.51123414496274,3.3151523529044,0.038692875616324056,-3.4015611900001983,-3.673243770937584,1.2377795519275745,3.1676278689914734,-6.258392887536735,2.0363813757300733,0.025132351638661884,0.5508811499902413,10.725366257895642,-0.40474389687068585,-0.9815900825445328,1.093882892213411,-0.10275108877296932,3.7743646471644112,-1.1162838591104893,0.13230951888986994
GSM7888989,1.7832819470535355,-46.13297199527971,-5.241781590636524,-1.638993637501569,7.908045428567435,8.942096708264208,-0.0419889210795715,-8.507898701178863,11.660808608672882,-0.7552654198686314,-1.8143105846205763,0.07816284372929912,1.0593552776164212,1.5764242914093425,3.4862688784839397,-1.6444288873971642,-2.413153530348472,-5.38828772306627,1.661884885193703,3.0288721081529526
GSM7888990,5.029242314707234,-159.54030335417048,7.941491067605392,-1.4895200129900406,-5.319095038933632,-7.896608139058865,-0.14059559356343176,14.795914317069412,-13.016204935422207,-3.726584986339033,-1.4738548528716964,-1.043549632520771,11.2246046815385,2.340422545763169,3.75258748398209,3.245419422109717,-2.06834967006359,7.888805523400154,5.080126069599537,-1.1657162965800816
